City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
206,Grindavik,IS,2020-04-19 00:01:01,63.84,-22.43,35.6,100,90,4.7,light rain,0.0,0.0
207,Nanakuli,US,2020-04-18 23:57:34,21.39,-158.15,82.4,54,1,10.29,clear sky,0.0,0.0
208,Talnakh,RU,2020-04-18 23:57:51,69.49,88.4,35.6,80,100,33.55,overcast clouds,0.0,0.0
209,Aldan,RU,2020-04-18 23:56:22,58.6,125.39,10.62,86,95,8.14,light snow,0.0,0.11
210,Iqaluit,CA,2020-04-18 23:59:40,63.75,-68.51,3.2,71,20,6.93,few clouds,0.0,0.0
211,Mangrol,IN,2020-04-18 23:56:37,21.12,70.12,79.11,68,19,10.8,few clouds,0.0,0.0
212,Kavali,IN,2020-04-19 00:01:01,14.92,79.98,77.07,90,3,13.2,clear sky,0.0,0.0
213,Morondava,MG,2020-04-18 23:56:15,-20.28,44.28,76.55,71,0,5.97,clear sky,0.0,0.0
214,Thinadhoo,MV,2020-04-18 23:56:17,0.53,72.93,83.66,76,94,11.92,overcast clouds,0.0,0.0
215,Permet,AL,2020-04-19 00:01:01,40.23,20.35,50.0,53,48,0.81,scattered clouds,0.0,0.0
216,Salinas,US,2020-04-19 00:01:01,36.68,-121.66,62.6,55,90,12.75,overcast clouds,0.0,0.0
217,At-Bashi,KG,2020-04-19 00:01:01,41.17,75.81,39.13,27,22,2.28,few clouds,0.0,0.0
218,Paka,MY,2020-04-19 00:01:01,4.64,103.44,77.0,94,40,1.12,scattered clouds,0.0,0.0
219,Catuday,PH,2020-04-19 00:01:02,16.29,119.81,81.64,72,88,10.71,overcast clouds,0.0,0.0
220,San Juan De Uraba,CO,2020-04-19 00:01:02,8.76,-76.53,79.97,84,69,9.64,broken clouds,0.0,0.0
221,Comodoro Rivadavia,AR,2020-04-19 00:00:02,-45.87,-67.5,66.2,39,71,11.41,broken clouds,0.0,0.0
222,Oranjemund,NA,2020-04-19 00:01:02,-28.55,16.43,56.84,82,9,2.04,clear sky,0.0,0.0
223,Musoma,TZ,2020-04-19 00:01:02,-1.5,33.8,66.2,93,75,2.71,broken clouds,0.0,0.0
224,Arraial Do Cabo,BR,2020-04-19 00:01:02,-22.97,-42.03,74.16,71,97,8.01,overcast clouds,0.0,0.0
225,Xuddur,SO,2020-04-19 00:01:02,4.12,43.89,76.78,68,100,13.18,overcast clouds,0.0,0.0
226,Salalah,OM,2020-04-19 00:01:02,17.02,54.09,82.4,69,40,4.7,scattered clouds,0.0,0.0
227,Road Town,VG,2020-04-19 00:01:02,18.42,-64.62,80.01,84,10,13.0,clear sky,0.0,0.0
228,Muroto,JP,2020-04-19 00:01:02,33.28,134.15,60.8,51,75,16.11,broken clouds,0.0,0.0
229,Borovskoy,KZ,2020-04-19 00:01:02,53.8,64.15,42.82,88,61,8.21,broken clouds,0.0,0.0
230,Hovd,MN,2020-04-18 23:59:39,48.01,91.64,34.7,40,1,3.38,clear sky,0.0,0.0
231,Abu Samrah,SY,2020-04-19 00:01:02,35.3,37.18,62.62,54,11,3.4,few clouds,0.0,0.0
